episode,state,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,[1. 0. 0. 1. 0. 0. 0. 0.],-14.626818015342428,0.8793705515053272,0.9185466577222151,0.9195803676702181,"{'omega': -2.0, 'delta': 0.0, 'phase': -3.141592653589793}",63
1,[1. 0. 0. 1. 0. 0. 0. 0.],9.448445879494171,0.43204313209715933,0.24568464447040791,0.6213620880647729,"{'omega': 2.0, 'delta': -2.0, 'phase': -3.141592653589793}",32
2,[1. 0. 0. 1. 0. 0. 0. 0.],21.282124925017712,0.9995383298964859,3.3356682482542843,0.9996922199309907,"{'omega': 2.0, 'delta': 2.0, 'phase': 3.141592653589793}",13
3,[1. 0. 0. 1. 0. 0. 0. 0.],8.855412955648918,0.5650337911265152,0.36154448067710176,0.7100225274176767,"{'omega': 0.0, 'delta': 0.0, 'phase': 0.0}",32
4,[1. 0. 0. 1. 0. 0. 0. 0.],7.44997780365945,0.4387745265932624,0.2508626250476159,0.6258496843955083,"{'omega': 2.0, 'delta': -2.0, 'phase': 3.141592653589793}",32
5,[1. 0. 0. 1. 0. 0. 0. 0.],11.387100411555501,0.8431777942471277,0.8045924419504867,0.8954518628314184,"{'omega': 0.0, 'delta': -2.0, 'phase': 3.141592653589793}",32
6,[1. 0. 0. 1. 0. 0. 0. 0.],10.47930148987157,0.8728277066813664,0.8956074969385265,0.9152184711209109,"{'omega': 0.0, 'delta': 0.0, 'phase': 3.141592653589793}",32
7,[1. 0. 0. 1. 0. 0. 0. 0.],15.634496876949488,0.8658935175076059,0.8725502285419071,0.9105956783384039,"{'omega': 2.0, 'delta': 0.0, 'phase': -3.141592653589793}",32
8,[1. 0. 0. 1. 0. 0. 0. 0.],10.205430486883278,0.8100705113151988,0.7214076009352381,0.8733803408767992,"{'omega': -2.0, 'delta': -2.0, 'phase': 3.141592653589793}",32
9,[1. 0. 0. 1. 0. 0. 0. 0.],17.066759081586543,0.9363434875199015,1.1961571585541315,0.9575623250132677,"{'omega': 0.0, 'delta': 2.0, 'phase': 0.0}",32
10,[1. 0. 0. 1. 0. 0. 0. 0.],23.637086726499433,0.9385927145833042,1.2117801007062095,0.9590618097222028,"{'omega': 2.0, 'delta': -2.0, 'phase': -3.141592653589793}",32
11,[1. 0. 0. 1. 0. 0. 0. 0.],19.33887607288425,0.83401253584966,0.7799247098871185,0.88934169056644,"{'omega': 2.0, 'delta': 0.0, 'phase': -3.141592653589793}",32
12,[1. 0. 0. 1. 0. 0. 0. 0.],8.003662919984421,0.8068056189287953,0.7140055089001138,0.8712037459525303,"{'omega': 0.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
13,[1. 0. 0. 1. 0. 0. 0. 0.],19.92354136060153,0.82955756490004,0.768422269690307,0.88637170993336,"{'omega': 0.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
14,[1. 0. 0. 1. 0. 0. 0. 0.],23.77542687635108,0.8514428511093906,0.8281064441697132,0.9009619007395937,"{'omega': 2.0, 'delta': 2.0, 'phase': -3.141592653589793}",32
15,[1. 0. 0. 1. 0. 0. 0. 0.],21.387987040919697,0.9996490403792844,3.454742847947761,0.9997660269195229,"{'omega': -2.0, 'delta': 2.0, 'phase': 3.141592653589793}",17
16,[1. 0. 0. 1. 0. 0. 0. 0.],18.650418120475223,0.9335127661372575,1.1772617350759311,0.9556751774248383,"{'omega': -2.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
17,[1. 0. 0. 1. 0. 0. 0. 0.],14.564881781354895,0.9783002185347726,1.6635446398345917,0.9855334790231817,"{'omega': 2.0, 'delta': 0.0, 'phase': 0.0}",32
18,[1. 0. 0. 1. 0. 0. 0. 0.],15.958595332247,0.9104527556239531,1.0479477740884349,0.9403018370826354,"{'omega': -2.0, 'delta': -2.0, 'phase': -3.141592653589793}",32
19,[1. 0. 0. 1. 0. 0. 0. 0.],14.80706720811284,0.9367948336154355,1.1992474210751463,0.9578632224102903,"{'omega': 2.0, 'delta': 0.0, 'phase': 0.0}",32
20,[1. 0. 0. 1. 0. 0. 0. 0.],23.357351758114753,0.8323354445067226,0.7755587381133915,0.8882236296711484,"{'omega': 2.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
21,[1. 0. 0. 1. 0. 0. 0. 0.],22.626143811223596,0.9587423920844788,1.3844959556940646,0.9724949280563191,"{'omega': 0.0, 'delta': -2.0, 'phase': -3.141592653589793}",32
22,[1. 0. 0. 1. 0. 0. 0. 0.],18.61576051338963,0.901428724164571,1.0062496222149324,0.9342858161097141,"{'omega': 2.0, 'delta': 0.0, 'phase': 3.141592653589793}",32
23,[1. 0. 0. 1. 0. 0. 0. 0.],24.2092889944436,0.8760356170693088,0.9067030770845516,0.9173570780462059,"{'omega': -2.0, 'delta': 2.0, 'phase': 0.0}",32
24,[1. 0. 0. 1. 0. 0. 0. 0.],15.123358406235043,0.9559417846009935,1.355973098153486,0.9706278564006624,"{'omega': -2.0, 'delta': -2.0, 'phase': 3.141592653589793}",32
25,[1. 0. 0. 1. 0. 0. 0. 0.],9.767145527551918,0.8713122132893736,0.8904626684481567,0.9142081421929157,"{'omega': -2.0, 'delta': 0.0, 'phase': 0.0}",32
26,[1. 0. 0. 1. 0. 0. 0. 0.],15.335779483800556,0.9668560866607501,1.4795962152496722,0.9779040577738334,"{'omega': 0.0, 'delta': -2.0, 'phase': 0.0}",32
27,[1. 0. 0. 1. 0. 0. 0. 0.],23.163026289147794,0.9443386828301239,1.2544465207321143,0.9628924552200826,"{'omega': 0.0, 'delta': -2.0, 'phase': 3.141592653589793}",32
28,[1. 0. 0. 1. 0. 0. 0. 0.],22.701449441427087,0.8664211913860245,0.8742624343155398,0.9109474609240164,"{'omega': 0.0, 'delta': 2.0, 'phase': 0.0}",32
29,[1. 0. 0. 1. 0. 0. 0. 0.],19.86662512877692,0.7233662121678728,0.5580947766023971,0.8155774747785819,"{'omega': 2.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
30,[1. 0. 0. 1. 0. 0. 0. 0.],21.518999656236137,0.8934645525489373,0.9725058657370902,0.9289763683659582,"{'omega': 0.0, 'delta': 2.0, 'phase': 3.141592653589793}",32
31,[1. 0. 0. 1. 0. 0. 0. 0.],18.37473699068002,0.901260008570367,1.005506914812085,0.9341733390469114,"{'omega': 0.0, 'delta': 0.0, 'phase': -3.141592653589793}",32
