episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
10,6.4075264042744635,0.19063069108992567,0.09185326797473482,0.35250455287194055,"[{'omega1': 0.18544705, 'delta1': 2.0, 'omega2': 1.9994886, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.44558907, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9926503, 'delta1': 2.0, 'omega2': 1.9999998, 'delta2': 1.989177, 'coupling_strength_zx': -1.9992967}, {'omega1': 1.9999398, 'delta1': -0.7284932, 'omega2': 1.9995917, 'delta2': -1.9999939, 'coupling_strength_zx': -2.0}, {'omega1': -0.6634623, 'delta1': 1.9999838, 'omega2': 1.9999002, 'delta2': 1.9951863, 'coupling_strength_zx': -1.9999996}]",5
11,6.594252621400961,0.0703922988592407,0.03170028711695186,0.2563138390873926,"[{'omega1': 1.8526081, 'delta1': 2.0, 'omega2': 1.9931304, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9596611, 'coupling_strength_zx': -1.9164282}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 1.9990216, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 1.9994928, 'omega2': 1.673761, 'delta2': -1.9979639, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 1.1083672, 'omega2': -1.9521601, 'delta2': 1.7576929, 'coupling_strength_zx': -2.0}]",5
12,8.131839921300966,0.007416375519398927,0.0032328940151589458,0.20593310041551915,"[{'omega1': 1.9668026, 'delta1': 1.9995897, 'omega2': 1.9999869, 'delta2': -1.9999999, 'coupling_strength_zx': -2.0}, {'omega1': -1.9966516, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9999839, 'coupling_strength_zx': -1.9999962}, {'omega1': -2.0, 'delta1': 1.9999738, 'omega2': 1.9999676, 'delta2': 1.9986005, 'coupling_strength_zx': -1.9877566}, {'omega1': -1.9981743, 'delta1': -2.0, 'omega2': 1.9977431, 'delta2': -1.6302757, 'coupling_strength_zx': 1.7547188}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 1.9942054, 'delta2': 1.6289105, 'coupling_strength_zx': 1.9999996}]",5
13,7.720352559559399,0.0778235280567552,0.035185962398077274,0.26225882244540416,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 1.9353224, 'delta2': -2.0, 'coupling_strength_zx': -1.9990706}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.7562281, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9999993, 'coupling_strength_zx': 1.7769918}, {'omega1': 1.6876704, 'delta1': 1.9999306, 'omega2': 1.8081532, 'delta2': -0.2213964, 'coupling_strength_zx': -1.998849}, {'omega1': 1.6001368, 'delta1': -1.9999982, 'omega2': 2.0, 'delta2': -1.9849908, 'coupling_strength_zx': -2.0}]",5
14,9.271649110874867,0.03781899099590187,0.01674321921283484,0.2302551927967215,"[{'omega1': 0.9650427, 'delta1': 1.9999995, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 1.9999999, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -1.9999999}, {'omega1': -1.9998561, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9961685, 'coupling_strength_zx': -2.0}, {'omega1': -1.9966241, 'delta1': 2.0, 'omega2': -1.9896295, 'delta2': -1.9830989, 'coupling_strength_zx': -2.0}, {'omega1': 1.7379745, 'delta1': 0.5762227, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}]",5
15,8.168494204020057,0.11703635235046043,0.054057176320732155,0.29362908188036835,"[{'omega1': -1.594176, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 1.9999802, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 1.999841, 'delta1': 1.9891506, 'omega2': 1.8253343, 'delta2': 1.99999, 'coupling_strength_zx': -2.0}, {'omega1': 1.9999943, 'delta1': -1.422617, 'omega2': 1.6443794, 'delta2': 1.998098, 'coupling_strength_zx': -2.0}, {'omega1': -1.356942, 'delta1': 1.9981978, 'omega2': 2.0, 'delta2': 1.99356, 'coupling_strength_zx': -2.0}]",5
16,8.708280919700293,0.16277103919231128,0.07715575727860671,0.33021683135384905,"[{'omega1': -1.8655534, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9999998, 'delta1': 1.9998893, 'omega2': 1.9999999, 'delta2': 1.9999996, 'coupling_strength_zx': -2.0}, {'omega1': 1.9522614, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -1.9999938, 'coupling_strength_zx': 1.7835387}, {'omega1': 1.9998648, 'delta1': 1.9999679, 'omega2': -1.9985645, 'delta2': 2.0, 'coupling_strength_zx': -1.9878715}, {'omega1': 1.996859, 'delta1': -2.0, 'omega2': -1.8886086, 'delta2': -2.0, 'coupling_strength_zx': 0.62640166}]",5
17,9.174979263111963,0.14923609506906055,0.07019094404181686,0.31938887605524846,"[{'omega1': -0.23603146, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9999954, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -1.4228834, 'coupling_strength_zx': -1.9989555}, {'omega1': -1.999999, 'delta1': 1.9999964, 'omega2': 2.0, 'delta2': 1.8654652, 'coupling_strength_zx': 1.549345}, {'omega1': 2.0, 'delta1': 1.6528294, 'omega2': -1.9999998, 'delta2': -1.2737207, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': -1.9969137, 'coupling_strength_zx': -1.9732143}]",5
18,9.372440507894684,0.49976948964708545,0.3008298230537109,0.5998155917176684,"[{'omega1': 1.993773, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9990263, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -1.9939573, 'coupling_strength_zx': -2.0}, {'omega1': -1.9999701, 'delta1': -1.9817252, 'omega2': -1.9999965, 'delta2': 1.997219, 'coupling_strength_zx': 1.9774573}, {'omega1': -1.999941, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9999974, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 1.4281135, 'omega2': 1.9800686, 'delta2': -1.9998398, 'coupling_strength_zx': -2.0}]",5
19,10.851024222269093,0.29005082736569215,0.14877274259726841,0.4320406618925537,"[{'omega1': 1.8285638, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9971155, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.5186515, 'coupling_strength_zx': -1.9999977}, {'omega1': 1.9289987, 'delta1': -1.9962887, 'omega2': 1.9998848, 'delta2': -1.999915, 'coupling_strength_zx': 1.9999832}, {'omega1': -1.9999999, 'delta1': 1.9998676, 'omega2': -1.9995073, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 1.9999996, 'delta1': 2.0, 'omega2': -1.9999926, 'delta2': -1.6131948, 'coupling_strength_zx': -1.1605822}]",5
