,loss_grape_h_lbfgs,fid_grape_h_lbfgs,inf_grape_h_lbfgs
408,0.10684958845376968,0.9472882747650146,-1.2780927419662476
409,0.10612940788269043,0.9476385712623596,-1.2809884548187256
410,0.10541396588087082,0.9479875564575195,-1.2838927507400513
411,0.10470271855592728,0.9483341574668884,-1.2867964506149292
412,0.10399417579174042,0.9486784934997559,-1.2897006273269653
413,0.10328862071037292,0.9490224719047546,-1.2926212549209595
414,0.10258461534976959,0.9493648409843445,-1.2955478429794312
415,0.10188234597444534,0.9497077465057373,-1.2984988689422607
416,0.10118046402931213,0.9500495791435242,-1.301460862159729
417,0.1004796102643013,0.9503909945487976,-1.3044394254684448
418,0.09977701306343079,0.950733482837677,-1.307448148727417
419,0.09907395392656326,0.951076328754425,-1.3104809522628784
420,0.09837015718221664,0.9514194130897522,-1.3135372400283813
421,0.09766394644975662,0.9517642259597778,-1.3166307210922241
422,0.09695511311292648,0.9521095156669617,-1.3197507858276367
423,0.09624314308166504,0.952456533908844,-1.3229091167449951
424,0.09552882611751556,0.9528058171272278,-1.3261115550994873
425,0.09481148421764374,0.9531553983688354,-1.3293404579162598
426,0.09409026056528091,0.9535078406333923,-1.3326202630996704
427,0.09336619824171066,0.9538620114326477,-1.3359413146972656
428,0.09263885766267776,0.9542168974876404,-1.3392947912216187
429,0.09190911799669266,0.9545725584030151,-1.3426817655563354
430,0.09117726236581802,0.9549307227134705,-1.3461194038391113
431,0.09044428169727325,0.9552887678146362,-1.349583387374878
432,0.08970863372087479,0.9556488990783691,-1.3530956506729126
433,0.08897396177053452,0.9560078978538513,-1.3566253185272217
434,0.08824010193347931,0.9563664793968201,-1.3601797819137573
435,0.08750689774751663,0.9567240476608276,-1.363753318786621
436,0.0867767333984375,0.9570822715759277,-1.3673632144927979
437,0.08604877442121506,0.9574383497238159,-1.3709815740585327
438,0.08532645553350449,0.9577910304069519,-1.374595284461975
439,0.08460979908704758,0.9581426978111267,-1.378228783607483
440,0.08389800041913986,0.9584910273551941,-1.381857991218567
441,0.08319374173879623,0.9588356614112854,-1.3854788541793823
442,0.08249649405479431,0.9591770172119141,-1.3890953063964844
443,0.08180824667215347,0.9595136642456055,-1.3926914930343628
444,0.08112835139036179,0.9598472714424133,-1.3962849378585815
445,0.08045746386051178,0.9601759910583496,-1.3998550176620483
446,0.07979562133550644,0.9604998230934143,-1.4034010171890259
447,0.07914582639932632,0.9608181715011597,-1.406915307044983
448,0.07850464433431625,0.9611328840255737,-1.4104176759719849
449,0.0778738409280777,0.9614415764808655,-1.413880705833435
450,0.07725390791893005,0.961746096611023,-1.417324185371399
451,0.07664331048727036,0.9620447158813477,-1.4207277297973633
452,0.07604462653398514,0.962338924407959,-1.424107313156128
453,0.07545562833547592,0.9626275300979614,-1.4274481534957886
454,0.07487694174051285,0.9629122614860535,-1.430769681930542
455,0.07430770248174667,0.9631916284561157,-1.4340534210205078
456,0.0737486258149147,0.9634650349617004,-1.4372912645339966
457,0.07319983839988708,0.9637351036071777,-1.4405136108398438
458,0.07266001403331757,0.9639993906021118,-1.4436901807785034
459,0.07213002443313599,0.9642593860626221,-1.4468380212783813
460,0.07160846889019012,0.9645161032676697,-1.449968695640564
461,0.07109607011079788,0.9647674560546875,-1.45305597782135
462,0.07059145718812943,0.9650152325630188,-1.4561209678649902
463,0.07009682804346085,0.9652577042579651,-1.459141492843628
464,0.069610096514225,0.9654971957206726,-1.4621455669403076
465,0.0691302940249443,0.9657332301139832,-1.465126872062683
466,0.06865953654050827,0.965965211391449,-1.4680769443511963
467,0.06819473206996918,0.9661930799484253,-1.4709943532943726
468,0.06773856282234192,0.9664172530174255,-1.4738837480545044
469,0.06728889048099518,0.9666380882263184,-1.476749062538147
470,0.06684569269418716,0.9668565392494202,-1.4796020984649658
471,0.06640953570604324,0.9670706391334534,-1.4824167490005493
472,0.0659799799323082,0.9672823548316956,-1.4852179288864136
473,0.06555621325969696,0.9674894213676453,-1.4879753589630127
474,0.06513902544975281,0.9676956534385681,-1.4907389879226685
475,0.06472808867692947,0.9678971171379089,-1.4934560060501099
476,0.0643223449587822,0.9680972099304199,-1.4961713552474976
477,0.0639217272400856,0.9682938456535339,-1.4988564252853394
478,0.06352684646844864,0.9684884548187256,-1.5015302896499634
479,0.06313779205083847,0.9686803817749023,-1.5041835308074951
480,0.06275342404842377,0.968869149684906,-1.5068089962005615
481,0.06237413361668587,0.9690558910369873,-1.5094220638275146
482,0.06199978291988373,0.969240128993988,-1.512015461921692
483,0.061629973351955414,0.9694222807884216,-1.5145949125289917
484,0.06126474216580391,0.9696013927459717,-1.517146348953247
485,0.06090418994426727,0.9697788953781128,-1.519689679145813
486,0.06054757535457611,0.9699547290802002,-1.5222238302230835
487,0.060195621103048325,0.9701289534568787,-1.524749517440796
488,0.0598478727042675,0.970299243927002,-1.5272325277328491
489,0.05950362607836723,0.970469057559967,-1.5297226905822754
490,0.0591636598110199,0.9706360697746277,-1.5321857929229736
491,0.058827951550483704,0.9708018898963928,-1.5346451997756958
492,0.05849551036953926,0.970966100692749,-1.5370945930480957
493,0.058166585862636566,0.9711272716522217,-1.5395121574401855
494,0.05784176290035248,0.9712879657745361,-1.5419360399246216
495,0.05751970037817955,0.9714465737342834,-1.544341802597046
496,0.0572018027305603,0.9716038107872009,-1.546739935874939
497,0.056886762380599976,0.9717586636543274,-1.54911470413208
498,0.05657543987035751,0.9719127416610718,-1.5514906644821167
499,0.056266747415065765,0.9720636606216431,-1.5538305044174194
500,0.05596162751317024,0.9722142219543457,-1.5561774969100952
501,0.05565900355577469,0.9723637104034424,-1.5585203170776367
502,0.0553591214120388,0.9725121855735779,-1.5608597993850708
503,0.05506245419383049,0.9726577401161194,-1.563165545463562
504,0.05476756766438484,0.9728031754493713,-1.5654817819595337
505,0.05447493493556976,0.9729475975036621,-1.5677942037582397
506,0.05418436974287033,0.9730916023254395,-1.5701121091842651
507,0.05389443412423134,0.9732338190078735,-1.5724135637283325
508,0.053606271743774414,0.9733765721321106,-1.5747359991073608
509,0.05331689119338989,0.9735193848609924,-1.5770719051361084
510,0.053026530891656876,0.9736618399620056,-1.5794146060943604
511,0.05273427441716194,0.9738056659698486,-1.5817925930023193
512,0.05243713781237602,0.9739527106285095,-1.5842374563217163
513,0.052134282886981964,0.9741024971008301,-1.5867421627044678
