,loss_crab_t,fid_crab_t,inf_crab_t
193,0.07903586878652408,0.9608723451656748,-1.4075161813104984
194,0.06769075953901017,0.9664411318517959,-1.4741926951996742
195,0.06398427272674771,0.968263665603476,-1.49844323647517
196,0.0623124175955917,0.9690867119425892,-1.509854799231617
197,0.058548551750199025,0.9709395766009927,-1.5366980624910955
198,0.055446836205200585,0.9724688083856264,-1.5601749909187919
199,0.053064152478986326,0.9736437761271975,-1.5791168121614634
200,0.049316431591187586,0.9754935324382504,-1.6107192847903868
201,0.0590309558546731,0.9707022570960754,-1.5331658363738316
202,0.04687072984463538,0.9767018347288701,-1.6326782782871871
203,0.06639996643718729,0.9670754932724962,-1.4824807228848702
204,0.04379490754118251,0.9782226249412603,-1.6619944692178408
205,0.07797456108941901,0.9613924189401031,-1.413327408043095
206,0.04407839449077264,0.9780822778691431,-1.659204583280912
207,0.04133343709342966,0.9794400587363866,-1.6869781303832323
208,0.07929619753602644,0.9607449543711865,-1.4061045134940844
209,0.045051054071049285,0.9776013553686402,-1.6497782605466569
210,0.045274692381763765,0.9774907396969619,-1.6476387765049063
211,0.057688390680863386,0.9713637615851226,-1.5430840304616829
212,0.05301670514314636,0.9736671953105306,-1.5795028820146961
213,0.0621855610122928,0.9691484729983858,-1.5107233356189789
214,0.06749059089092696,0.9665398742412862,-1.4754724310899177
215,0.06955641098341465,0.9655241081607707,-1.462484490464766
216,0.08929297712745533,0.9558517075895194,-1.3550860896186296
217,0.05260517685688713,0.9738699682510024,-1.582860062587787
218,0.07501251653977055,0.9628454628594928,-1.4299881446283167
219,0.050227486329516235,0.9750436907034139,-1.6028196405697948
220,0.07826434532777564,0.9612504875138737,-1.4117337570523043
221,0.048478463306568235,0.9759075972137815,-1.6181198847356506
222,0.07572042328202994,0.9624983028200385,-1.4259490773599275
223,0.05009099958104564,0.9751114650944064,-1.60400066792108
224,0.07198197171579435,0.9643326626814124,-1.447729310930988
225,0.04883472220822249,0.9757314967149021,-1.6149570071483617
226,0.06264132136997472,0.968924632353773,-1.5075837246080175
227,0.048250472005509415,0.9760204504639305,-1.6201589795289475
228,0.07352386328086527,0.963575884738742,-1.438610988406842
