episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
4283,142.0752865591199,0.9274476848258344,1.1393487244898959,0.9516317898838896,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 1.9892571, 'delta': -2.0}, {'omega': -1.9036436, 'delta': 1.517107}, {'omega': -2.0, 'delta': -1.083236}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 1.9964411, 'delta': 2.0}, {'omega': -1.9999999, 'delta': -2.0}, {'omega': -1.9860218, 'delta': -2.0}]",10
4284,75.13524773635504,0.6422564019420363,0.44642812934450227,0.7615042679613575,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -1.8336763, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
4285,73.24150690422326,0.9999996952639988,6.5160762356241895,0.9999997968426658,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999994, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4286,138.62446845416352,0.9999996952536588,6.516061499893876,0.9999997968357727,"[{'omega': -1.9999995, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4287,92.97209537947306,0.835811699562916,0.7846577926285216,0.890541133041944,"[{'omega': -2.0, 'delta': -1.9999684}, {'omega': -1.9989628, 'delta': -1.9857014}, {'omega': -2.0, 'delta': -2.0}, {'omega': 1.7843863, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999747}]",5
4288,168.5692914888718,0.16593468121461638,0.07879993679962151,0.4439564541430776,"[{'omega': -2.0, 'delta': -1.998773}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 1.9822682}, {'omega': 2.0, 'delta': 1.9999709}, {'omega': 1.9942698, 'delta': 0.36601856}, {'omega': -2.0, 'delta': -1.9995096}, {'omega': -1.9995251, 'delta': 1.997195}, {'omega': 1.9998875, 'delta': 1.9998715}, {'omega': 1.9996926, 'delta': 1.9999967}, {'omega': 0.77239907, 'delta': 1.9999995}]",10
4289,113.93003932028884,0.2523421059329439,0.12629707687537634,0.5015614039552959,"[{'omega': -2.0, 'delta': -1.9998809}, {'omega': 1.935012, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.3561567}, {'omega': -1.9848968, 'delta': -1.9418666}, {'omega': 1.9999958, 'delta': 2.0}, {'omega': 1.9998668, 'delta': -1.9233687}, {'omega': -1.7889808, 'delta': 1.4312073}, {'omega': 2.0, 'delta': -1.9953108}, {'omega': -1.9999999, 'delta': 1.9999973}, {'omega': -1.7099494, 'delta': 1.9999976}]",10
4290,76.30594382442742,0.9999998386910128,6.792341435657453,0.9999998924606753,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9954377}, {'omega': -1.9999933, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999993, 'delta': -2.0}]",5
4291,146.46519791547274,0.6548180817951808,0.46195196217335477,0.7698787211967871,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999275, 'delta': -2.0}]",3
4292,67.83852140547913,0.9998681129502198,3.8797978464940055,0.9999120753001466,"[{'omega': -2.0, 'delta': -1.9999801}, {'omega': -2.0, 'delta': -1.8922986}, {'omega': -1.9999999, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
