,loss_crab_h,fid_crab_h,inf_crab_h
690,0.14124709134941746,0.9306235706679477,-1.1587880561989456
691,0.10925285729955928,0.9461192479371541,-1.2685663510621816
692,0.1246671196131094,0.9386381462632971,-1.2121015288592656
693,0.15791186690942502,0.9226024431152895,-1.1112727479506326
694,0.10379293611850902,0.948776950789023,-1.2905345723711918
695,0.14979160720363316,0.9265062377580134,-1.1337495199477121
696,0.10512227817585146,0.9481294500148425,-1.285079147143243
697,0.12457559134295075,0.9386823447144087,-1.2124144604060239
698,0.14444086215551058,0.9290835941979376,-1.1492532835038107
699,0.10429269162390827,0.9485334825339555,-1.2884752177309717
700,0.12953761512026896,0.9362799877282569,-1.195724149230765
701,0.10689153833046594,0.9472683905613696,-1.2779289732228827
702,0.13506676863216738,0.9336063840424478,-1.1778736779768586
703,0.10631926506338073,0.9475466209518976,-1.280226529306921
704,0.12613631915529144,0.9379260382937616,-1.2070905360347353
705,0.10635512817622005,0.9475292443006517,-1.2800826809189936
706,0.11466466995302274,0.943489401640816,-1.2478700941758933
707,0.13467338312883512,0.9337967903022053,-1.1791209543631842
708,0.10489669974907975,0.9482394490111653,-1.2860011092687056
709,0.12140700672529388,0.9402176595319581,-1.223427086411853
710,0.13400337045736874,0.934120416641424,-1.181249156096751
711,0.10373016149131883,0.9488070626359743,-1.2907899506531377
712,0.12707227929964338,0.9374728598737084,-1.203931434677305
713,0.10596330982397094,0.9477200956950895,-1.2816652160396067
714,0.12112787553215139,0.9403532785780389,-1.224413423032745
715,0.10642443431166251,0.9474956809112388,-1.279804969369998
716,0.13217153368554152,0.9350059440155104,-1.1871263598367752
717,0.10547498946207187,0.947958110392833,-1.2836469428739625
718,0.09752908877836929,0.9518294157814065,-1.3172180864783247
719,0.1114722905987875,0.9450402966984021,-1.2599556204686408
720,0.10357404405721418,0.9488832426455572,-1.2914367039055767
721,0.12093906304522002,0.940444226834213,-1.225076132879483
722,0.10252744494516346,0.9493933293184803,-1.295792233175408
723,0.11369032827033972,0.9439626957670438,-1.2515227653368657
724,0.10327402313110766,0.9490297365040098,-1.2926831212757464
725,0.10878113679043237,0.9463491110511631,-1.270423077754393
726,0.12418211991355316,0.9388726241814171,-1.2137642479525956
727,0.10168379715133714,0.9498041222225961,-1.2993319468397442
728,0.11207605927146543,0.9447475139481293,-1.2576481763882077
729,0.10887182227429068,0.9463043395183008,-1.2700608112279133
730,0.1103971794113671,0.945563148975463,-1.2641070051112697
731,0.12390066591538176,0.939009016435527,-1.2147343629830278
732,0.1010862734040901,0.9500958265531295,-1.3018631331510575
733,0.11309371574982845,0.9442525522740709,-1.2537750110406738
734,0.10173928927017091,0.94977705806708,-1.2990978510055864
735,0.10342003544987084,0.9489580364620903,-1.29207262705185
736,0.11339912915004899,0.944104315182569,-1.25262171863085
737,0.10063968615345,0.9503130627632494,-1.3037577728695513
738,0.10704881576140837,0.947191743615723,-1.277298171750062
739,0.10077749489572592,0.9502455485367863,-1.303168057442375
740,0.09806498044611045,0.9515683108054388,-1.3148703834192195
741,0.1001482761482147,0.9505526612148233,-1.3058570768072089
742,0.10001827268329953,0.9506161762024341,-1.3064152856092555
743,0.10057385526409816,0.9503454159476596,-1.3040406517660246
744,0.10062087292516664,0.9503221574662984,-1.3038372734605832
745,0.1013852941788905,0.9499494949808709,-1.3005915360485087
746,0.09954248102738307,0.9508480891371864,-1.3084595935786623
747,0.09294982799709164,0.9540648219511197,-1.3378545959210069
748,0.09461461579003043,0.9532520147168823,-1.3302371013535808
749,0.09784038665645817,0.9516781248320818,-1.3158562209250437
750,0.10187035445510652,0.9497135377153972,-1.298548916463354
751,0.09339514964609497,0.9538476019831696,-1.3358057286917981
752,0.10653992826451429,0.947439350782448,-1.279339279105447
753,0.09715153155231489,0.9520139037993995,-1.3188845796674629
754,0.1016042631339479,0.9498429986318121,-1.2996684356577446
755,0.09442531326004963,0.9533446448790693,-1.3310985005564389
756,0.09481293065458238,0.9531557003434756,-1.3293432495645956
757,0.10226696155282414,0.9495200610467724,-1.2968811789678136
758,0.0962605026561623,0.9524486862212476,-1.3228374795892264
759,0.09135080526247588,0.9548456433268143,-1.3453003408578204
760,0.09355833923189041,0.9537677261099964,-1.335054745679481
761,0.09431865403555599,0.9533964773660937,-1.3315812549270207
762,0.10036490352040969,0.9504468423364799,-1.3049286658578527
763,0.1032115763733716,0.9490600727357958,-1.2929416794897441
764,0.0951361980336321,0.9529974613024373,-1.3278786843500925
765,0.09490131571758668,0.9531117287715242,-1.3289357794124448
766,0.09338097231472968,0.9538544851006513,-1.3358705037197844
767,0.08871387973254125,0.9561350538257599,-1.3578823992187856
768,0.08904740964404914,0.9559715331043306,-1.3562664367376802
769,0.09629404039926535,0.9524326355680628,-1.322690910896171
770,0.0995489829352555,0.9508447493552151,-1.3084300850696335
771,0.10011868253102874,0.9505669899162408,-1.3059829435961756
772,0.09947086939017913,0.9508831495273954,-1.3087694893062622
773,0.09808340707507418,0.9515597204258994,-1.314793358981942
774,0.0879167383336239,0.9565250132611711,-1.3617605417980347
775,0.08919871311657783,0.9558977577099602,-1.3555393291390805
776,0.09767411159535565,0.9517589762866927,-1.3165834846920539
777,0.09157894423474161,0.9547344613786749,-1.3442323075285998
778,0.10595901356794139,0.9477220716113139,-1.2816816304868262
779,0.09243397005917738,0.9543166814551135,-1.3402423554324392
780,0.09790817178797825,0.9516448425953576,-1.3155571986662693
781,0.09025458850795459,0.9553817263296795,-1.350487237054369
782,0.09921457001975331,0.9510078345582845,-1.3098733644096827
783,0.09219358824622478,0.9544348890377788,-1.3413675677756132
784,0.0893944423116619,0.9558023529082749,-1.3546008501594937
785,0.09476413583053833,0.9531790486293632,-1.3295597659742928
786,0.09349482976018728,0.9537986731705869,-1.3353455520105801
787,0.0846381644541209,0.9581283797450575,-1.3780802334205406
788,0.08278585593762888,0.9590353718787809,-1.387590983332
789,0.0935673358150746,0.9537632806371031,-1.3350129880203878
790,0.08597656350197865,0.9574737439431863,-1.3713428501907106
791,0.08473977085056458,0.9580789427683583,-1.3775677731598672
792,0.08901659624460241,0.9559871570698444,-1.3564205780627636
793,0.08936492498442257,0.9558168168640298,-1.3547429989990267
794,0.09577507712034335,0.9526855313179613,-1.3250060324565986
795,0.08908335832718575,0.955954409994733,-1.3560975681203686
796,0.08632661015956844,0.9573023297563102,-1.3695958211790313
