episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
10,4.665860588856592,0.027795602558214966,0.01224241887103993,0.35186373503881,"[{'omega': 1.0471668, 'delta': 1.9713329}, {'omega': 0.3672688, 'delta': 2.07422}, {'omega': -0.7963853, 'delta': 2.1196637}, {'omega': -1.0408725, 'delta': 2.1094048}, {'omega': 0.3964991, 'delta': 2.0410733}, {'omega': -0.19462998, 'delta': 1.8493339}, {'omega': -0.90106714, 'delta': 2.0117357}, {'omega': -0.22972585, 'delta': 1.7920767}, {'omega': 0.9184788, 'delta': 2.0261688}, {'omega': 0.40489852, 'delta': 1.9824831}]",10
11,4.524316650404676,0.004495201183495535,0.0019566421212483366,0.33633013412233037,"[{'omega': -1.6932691, 'delta': 1.8835169}, {'omega': -0.059037596, 'delta': 1.9405206}, {'omega': 0.86119586, 'delta': 1.9002755}, {'omega': 0.51325554, 'delta': 2.0306048}, {'omega': 1.1019981, 'delta': 2.1728678}, {'omega': 1.3830549, 'delta': 1.9474559}, {'omega': 0.84446305, 'delta': 1.9127318}, {'omega': 1.4986959, 'delta': 1.9152663}, {'omega': 0.67414784, 'delta': 2.1603076}, {'omega': 0.5413928, 'delta': 2.0109525}]",10
12,5.013371041524406,0.000412579153175042,0.00017921782288379397,0.3336083861021167,"[{'omega': -0.73797715, 'delta': 1.9548818}, {'omega': 1.1684617, 'delta': 2.002087}, {'omega': 1.2899388, 'delta': 2.101487}, {'omega': 0.9697173, 'delta': 1.9472333}, {'omega': -0.82336783, 'delta': 1.7900788}, {'omega': 1.6236589, 'delta': 1.8771138}, {'omega': 0.8166614, 'delta': 2.1398435}, {'omega': 1.2234883, 'delta': 2.025895}, {'omega': 1.170125, 'delta': 2.195901}, {'omega': 1.2702483, 'delta': 1.9226335}]",10
13,5.731743657751127,1.3898761435962961e-06,6.036159591791215e-07,0.3333342599174291,"[{'omega': 0.35603157, 'delta': 1.7812213}, {'omega': -0.28811818, 'delta': 2.0827518}, {'omega': 0.42537105, 'delta': 1.8753009}, {'omega': -0.4961151, 'delta': 1.8938895}, {'omega': 1.1768827, 'delta': 2.0390503}, {'omega': 1.2749872, 'delta': 1.9841462}, {'omega': 1.4806489, 'delta': 2.0402641}, {'omega': 1.7414893, 'delta': 1.9767866}, {'omega': 1.7756085, 'delta': 1.9738226}, {'omega': 0.9457214, 'delta': 1.993325}]",10
14,5.480191861158319,0.001406531704382416,0.0006112789502941361,0.33427102113625495,"[{'omega': 0.10320189, 'delta': 2.0424461}, {'omega': 0.1869231, 'delta': 2.0111866}, {'omega': 0.6198923, 'delta': 2.0541842}, {'omega': 1.1683896, 'delta': 2.16161}, {'omega': 0.895565, 'delta': 2.14203}, {'omega': 1.3300414, 'delta': 1.9905605}, {'omega': 0.95982116, 'delta': 1.9652419}, {'omega': 1.0928509, 'delta': 2.0592728}, {'omega': -0.029961847, 'delta': 1.8673923}, {'omega': 1.3367292, 'delta': 1.9963682}]",10
15,3.99033307802397,0.03444516151040422,0.015223055517832875,0.35629677434026946,"[{'omega': 0.7329509, 'delta': 2.0059164}, {'omega': 0.877876, 'delta': 2.029871}, {'omega': 1.032838, 'delta': 1.9305005}, {'omega': 1.4211463, 'delta': 2.030133}, {'omega': 1.6773173, 'delta': 2.080989}, {'omega': 1.0510645, 'delta': 2.0997849}, {'omega': 1.5789183, 'delta': 1.8948786}, {'omega': 0.47333857, 'delta': 1.7894341}, {'omega': 1.2480763, 'delta': 2.0621064}, {'omega': 1.6485877, 'delta': 1.9459528}]",10
16,4.480064793779279,6.161648484864474e-05,2.6760523817190935e-05,0.33337441098989906,"[{'omega': 0.49239886, 'delta': 1.9302377}, {'omega': 0.96903545, 'delta': 2.003618}, {'omega': 0.52388126, 'delta': 1.869031}, {'omega': 0.40400818, 'delta': 2.07508}, {'omega': -0.1333971, 'delta': 2.0982814}, {'omega': 1.682269, 'delta': 1.8757464}, {'omega': 1.99035, 'delta': 1.830518}, {'omega': -0.3606252, 'delta': 2.0000954}, {'omega': 1.6197367, 'delta': 1.992515}, {'omega': 1.7593461, 'delta': 1.8279115}]",10
17,5.494163263209385,0.0011037710844050647,0.0004796264388601459,0.33406918072293673,"[{'omega': -0.46251187, 'delta': 1.9294538}, {'omega': 0.6771345, 'delta': 2.0216346}, {'omega': 0.13409774, 'delta': 2.042596}, {'omega': 1.4823852, 'delta': 2.0070007}, {'omega': 0.706914, 'delta': 2.0506268}, {'omega': 0.45078856, 'delta': 1.8933389}, {'omega': 1.2103304, 'delta': 1.853229}, {'omega': 1.6922698, 'delta': 2.1102238}, {'omega': 1.2784002, 'delta': 2.1054251}, {'omega': 0.86594236, 'delta': 2.0123234}]",10
18,5.348858407664056,0.02519575241678692,0.011082587101252756,0.3501305016111913,"[{'omega': -1.2094007, 'delta': 1.7601217}, {'omega': 0.89768976, 'delta': 1.9882276}, {'omega': -0.2969783, 'delta': 1.9759718}, {'omega': 0.8959634, 'delta': 1.8844242}, {'omega': 0.8476315, 'delta': 2.0362027}, {'omega': 1.0302405, 'delta': 1.7746027}, {'omega': 1.3250501, 'delta': 1.8334987}, {'omega': -0.8830334, 'delta': 1.9229859}, {'omega': 1.110508, 'delta': 1.9250691}, {'omega': 0.7226208, 'delta': 2.1031392}]",10
19,4.672250515250571,0.0252061959245301,0.011087239914462895,0.35013746394968676,"[{'omega': -0.8503397, 'delta': 2.111942}, {'omega': -0.4384162, 'delta': 1.9164386}, {'omega': -0.6566498, 'delta': 2.022029}, {'omega': 0.56976306, 'delta': 2.000629}, {'omega': 0.26699635, 'delta': 2.0004125}, {'omega': -0.21857442, 'delta': 2.1147637}, {'omega': 0.94968325, 'delta': 1.6692599}, {'omega': 0.13521545, 'delta': 1.6500831}, {'omega': 0.61841446, 'delta': 2.05321}, {'omega': 1.9951388, 'delta': 2.000493}]",10
