,loss_grape_t_lbfgs,fid_grape_t_lbfgs,inf_grape_t_lbfgs
0,0.009956108406186104,0.9950274229049683,-2.3034183979034424
1,0.009953470900654793,0.9950288534164429,-2.3035433292388916
2,0.00994465034455061,0.9950333833694458,-2.3039393424987793
3,0.009933880530297756,0.9950386881828308,-2.30440354347229
4,0.009921349585056305,0.9950447678565979,-2.304935932159424
5,0.009907283820211887,0.9950520396232605,-2.3055737018585205
6,0.009891893714666367,0.9950593113899231,-2.3062124252319336
7,0.009875420480966568,0.9950681924819946,-2.3069939613342285
8,0.009858095087110996,0.9950767755508423,-2.3077504634857178
9,0.009840058162808418,0.9950860738754272,-2.3085713386535645
10,0.009821509942412376,0.9950949549674988,-2.309356927871704
11,0.009802532382309437,0.9951042532920837,-2.310181140899658
12,0.009783233515918255,0.9951142072677612,-2.3110649585723877
13,0.009763656184077263,0.9951235055923462,-2.31189227104187
14,0.009743855334818363,0.9951329231262207,-2.3127317428588867
15,0.009723816998302937,0.995143473148346,-2.313674211502075
16,0.009703574702143669,0.9951534867286682,-2.314570665359497
17,0.00968310795724392,0.9951642751693726,-2.3155384063720703
18,0.009662408381700516,0.9951744079589844,-2.3164494037628174
19,0.009641469456255436,0.9951848387718201,-2.3173892498016357
20,0.009620282799005508,0.9951949715614319,-2.3183040618896484
21,0.009598830714821815,0.995205819606781,-2.3192856311798096
22,0.009577086195349693,0.9952163696289062,-2.320242404937744
23,0.009555062279105186,0.995227575302124,-2.321260929107666
24,0.009532705880701542,0.9952391982078552,-2.322319984436035
25,0.009509999305009842,0.9952505230903625,-2.3233542442321777
26,0.009486938826739788,0.995261549949646,-2.3243637084960938
27,0.009463533759117126,0.9952734708786011,-2.3254575729370117
28,0.009439700283110142,0.9952853322029114,-2.3265488147735596
29,0.009415441192686558,0.9952974915504456,-2.3276703357696533
30,0.009390722028911114,0.9953097105026245,-2.3288004398345947
31,0.00936555303633213,0.9953221082687378,-2.3299498558044434
32,0.00933986995369196,0.9953349232673645,-2.331141233444214
33,0.009313665330410004,0.9953480362892151,-2.3323636054992676
34,0.009286872111260891,0.9953615665435791,-2.3336286544799805
35,0.009259508922696114,0.9953750371932983,-2.3348917961120605
36,0.00923149473965168,0.9953890442848206,-2.3362090587615967
37,0.009202834218740463,0.9954033493995667,-2.3375585079193115
38,0.009173482656478882,0.995417594909668,-2.3389065265655518
39,0.00914339255541563,0.9954333305358887,-2.340400457382202
40,0.009112534113228321,0.9954484105110168,-2.341836929321289
41,0.009080863557755947,0.9954642057418823,-2.34334659576416
42,0.00904837530106306,0.9954804182052612,-2.3449018001556396
43,0.009014991112053394,0.9954972863197327,-2.3465256690979004
44,0.008980711922049522,0.9955142140388489,-2.348161458969116
45,0.008945479989051819,0.9955320358276367,-2.3498902320861816
46,0.008909249678254128,0.9955499768257141,-2.351637840270996
47,0.008872034028172493,0.9955683350563049,-2.353433132171631
48,0.008833753876388073,0.9955877065658569,-2.3553357124328613
49,0.008794395253062248,0.9956071972846985,-2.3572583198547363
50,0.00875395629554987,0.9956272840499878,-2.359248638153076
51,0.008712372742593288,0.9956482648849487,-2.361337661743164
52,0.00866969209164381,0.9956697821617126,-2.363490343093872
53,0.008625829592347145,0.9956915378570557,-2.365677833557129
54,0.008580852299928665,0.9957141280174255,-2.3679606914520264
55,0.008534700609743595,0.9957373142242432,-2.370316743850708
56,0.00848742201924324,0.9957602024078369,-2.372654914855957
57,0.00843905285000801,0.9957848191261292,-2.3751838207244873
58,0.008389586582779884,0.9958093166351318,-2.3777151107788086
59,0.008339055813848972,0.9958342909812927,-2.3803110122680664
60,0.008287505246698856,0.9958603382110596,-2.383035182952881
61,0.00823498796671629,0.9958862662315369,-2.3857638835906982
62,0.008181577548384666,0.9959127902984619,-2.388573169708252
63,0.00812732893973589,0.9959401488304138,-2.3914899826049805
64,0.008072315715253353,0.9959673881530762,-2.394413471221924
65,0.008016649633646011,0.9959951043128967,-2.3974087238311768
66,0.007960339076817036,0.9960235357284546,-2.400502920150757
67,0.007903527468442917,0.9960516691207886,-2.4035863876342773
68,0.007846335880458355,0.9960801005363464,-2.4067251682281494
69,0.007788781076669693,0.9961092472076416,-2.409966468811035
70,0.007730955258011818,0.9961381554603577,-2.413205146789551
71,0.00767302792519331,0.9961669445037842,-2.416454792022705
72,0.0076150111854076385,0.996195375919342,-2.4196882247924805
