,loss_crab_t,fid_crab_t,inf_crab_t
203,0.5106552451923708,0.7609702593455587,-0.621548059727401
204,0.45736646218599925,0.7843906371291788,-0.6663323837689606
205,0.4575064090737414,0.78432898224196,-0.6662082122152033
206,0.46719545120097206,0.780044299551792,-0.6576647782148717
207,0.4438307660562575,0.7903961564847747,-0.6786007579375996
208,0.5040119131183356,0.7638706527676322,-0.6268500334675708
209,0.44920179311800795,0.7880105058748522,-0.6736856615077242
210,0.4467640761219609,0.7890927425827615,-0.675908475727415
211,0.4939045945039928,0.7682942407904494,-0.6350631713811801
212,0.476498672086904,0.7759412866027263,-0.6496381621871249
213,0.4582716712210127,0.7839900831287056,-0.6655263102212113
214,0.4217703233009075,0.8002328772588949,-0.6994759855144882
215,0.38863796846482845,0.8151209724950828,-0.7331123519856699
216,0.4378316437925208,0.7930652432758134,-0.6841665591853787
217,0.420882085460576,0.80063036525959,-0.7003409867911522
218,0.4381907771054164,0.7929053028835865,-0.6838310215438488
219,0.5121058970997713,0.7603378134472257,-0.6204004827245162
220,0.460688720136624,0.7829202543213098,-0.6633806958930322
221,0.4235918310190668,0.799418416845942,-0.6977089452026789
222,0.43195171481866623,0.7956854169257597,-0.6897006342356722
223,0.4161756375158284,0.8027373829442748,-0.7049552094496514
224,0.413789728630181,0.8038067258969133,-0.7073158851822879
225,0.4100852776884905,0.8054680648236285,-0.7110090928863677
226,0.4013747254998514,0.8093815618302529,-0.7198350931620937
227,0.41933146538688076,0.8013242870672767,-0.7018552198754722
228,0.39404845050524484,0.8126802803000964,-0.7274165007558355
229,0.39258407018609215,0.8133405722794634,-0.7289500700098177
230,0.38919795609644214,0.814868297983055,-0.732519206141004
231,0.4061058452723646,0.8072545853135518,-0.7150159447948267
232,0.3684665459126243,0.8242522130285478,-0.755110134940501
233,0.3250947556500839,0.8440579556244939,-0.8070367765461419
234,0.36018610884520746,0.8280151845928203,-0.7645098953946733
235,0.3582735103540983,0.8288855634658829,-0.7667133484798409
236,0.3529527855276196,0.8313095565638629,-0.7729095201406405
237,0.34361586525939164,0.8355716004918026,-0.7840231704667948
238,0.395633241640577,0.8119662260068045,-0.7257641372176921
239,0.37976197481153645,0.8191327494903953,-0.7426400633809426
240,0.34026835681575285,0.837102333220417,-0.7880851361458125
241,0.330546157189655,0.8415556762708694,-0.8001233148029534
242,0.3243735114233462,0.8443894425792055,-0.8079609415747702
243,0.27733161961945996,0.8661410089435365,-0.8733524527544656
244,0.3512086006282331,0.8321047741063027,-0.7749616528643404
245,0.32397387192164767,0.8445731338529924,-0.808473909531739
246,0.35814705029477345,0.828943316503145,-0.7668599524692832
