,loss_grape_h_adam,fid_grape_h_adam,inf_grape_h_adam
909,0.3492555320262909,0.8329947590827942,-0.7772698998451233
910,0.3480832278728485,0.8335297703742981,-0.7786633968353271
911,0.3469143807888031,0.8340635895729065,-0.7800583243370056
912,0.3457491099834442,0.8345958590507507,-0.7814536094665527
913,0.34458741545677185,0.8351268768310547,-0.7828501462936401
914,0.34342899918556213,0.8356558084487915,-0.7842456698417664
915,0.34227392077445984,0.8361841440200806,-0.7856440544128418
916,0.34112247824668884,0.8367102742195129,-0.7870411276817322
917,0.3399744927883148,0.8372356295585632,-0.7884406447410583
918,0.33882975578308105,0.837759256362915,-0.789840042591095
919,0.337688684463501,0.8382817506790161,-0.7912409901618958
920,0.3365510106086731,0.8388023972511292,-0.7926414012908936
921,0.33541661500930786,0.8393221497535706,-0.7940439581871033
922,0.33428579568862915,0.8398401141166687,-0.7954462766647339
923,0.3331581950187683,0.840356707572937,-0.7968493103981018
924,0.3320342004299164,0.840872049331665,-0.7982535362243652
925,0.3309134244918823,0.8413860201835632,-0.7996585369110107
926,0.32979616522789,0.8418986797332764,-0.8010644912719727
927,0.32868197560310364,0.8424097299575806,-0.8024706244468689
928,0.327571302652359,0.8429195284843445,-0.8038778305053711
929,0.32646414637565613,0.8434278964996338,-0.805285632610321
930,0.3253602385520935,0.8439345359802246,-0.8066931962966919
931,0.32425981760025024,0.8444405794143677,-0.8081036806106567
932,0.32316240668296814,0.8449450731277466,-0.8095144033432007
933,0.3220684230327606,0.8454476594924927,-0.8109244108200073
934,0.320978045463562,0.8459492325782776,-0.8123361468315125
935,0.3198905885219574,0.8464492559432983,-0.8137480616569519
936,0.31880679726600647,0.8469481468200684,-0.815161406993866
937,0.3177260756492615,0.847445011138916,-0.8165735602378845
938,0.3166486918926239,0.847941517829895,-0.8179893493652344
939,0.315574586391449,0.8484359979629517,-0.8194039463996887
940,0.3145037591457367,0.8489293456077576,-0.8208199143409729
941,0.31343600153923035,0.8494209051132202,-0.8222353458404541
942,0.31237173080444336,0.8499114513397217,-0.823652446269989
943,0.31131067872047424,0.8504006862640381,-0.8250703811645508
944,0.31025269627571106,0.8508886098861694,-0.8264892101287842
945,0.30919817090034485,0.851375162601471,-0.8279086351394653
946,0.3081466853618622,0.8518597483634949,-0.8293269276618958
947,0.3070986568927765,0.8523440361022949,-0.8307490348815918
948,0.30605366826057434,0.8528263568878174,-0.8321699500083923
949,0.30501189827919006,0.8533075451850891,-0.8335922360420227
950,0.30397340655326843,0.8537873029708862,-0.8350149393081665
951,0.3029380738735199,0.8542656302452087,-0.836438000202179
952,0.30190595984458923,0.8547427654266357,-0.8378622531890869
953,0.30087676644325256,0.8552182912826538,-0.8392863273620605
954,0.2998509109020233,0.8556928634643555,-0.8407121896743774
955,0.2988283634185791,0.8561657667160034,-0.8421377539634705
956,0.29780885577201843,0.8566373586654663,-0.8435640335083008
957,0.29679226875305176,0.8571079969406128,-0.8449921011924744
958,0.29577916860580444,0.8575773239135742,-0.8464208841323853
959,0.2947691082954407,0.8580449223518372,-0.8478490710258484
960,0.2937619388103485,0.8585113883018494,-0.8492785096168518
961,0.2927582263946533,0.8589763641357422,-0.8507080674171448
962,0.2917574942111969,0.8594405055046082,-0.8521398305892944
963,0.290759801864624,0.8599031567573547,-0.8535716533660889
964,0.2897651195526123,0.8603641986846924,-0.8550032377243042
965,0.2887735962867737,0.8608238101005554,-0.8564350605010986
966,0.28778529167175293,0.8612825274467468,-0.8578688502311707
967,0.28679993748664856,0.8617396950721741,-0.8593024611473083
968,0.2858177125453949,0.8621957898139954,-0.8607375025749207
969,0.28483834862709045,0.8626505732536316,-0.8621731400489807
970,0.28386226296424866,0.8631037473678589,-0.8636084198951721
971,0.2828892469406128,0.8635559678077698,-0.865045428276062
972,0.281919002532959,0.8640065789222717,-0.8664820790290833
973,0.28095197677612305,0.8644559383392334,-0.8679195046424866
